text,label
"Boa tarde, preciso atualizar meu cadastro. Meu CPF é 000.000.000-00. Por favor, me orientem.",Produtivo
"Encaminho nota fiscal em anexo. Confirmem o recebimento, por favor.",Produtivo
"Existe previsão de entrega do pedido #12345? Preciso confirmar a data.",Produtivo
"Solicito cancelamento de assinatura e estorno conforme contrato.",Produtivo
"Tenho dúvida sobre a fatura cobrada em duplicidade. Podem verificar?",Produtivo
"Olá, gostaria de saber o status do pedido 12345.",Produtivo
"Meu sistema está com erro ao tentar fazer login, podem ajudar?",Produtivo
"Favor reenviar a fatura do mês de março.",Produtivo
"Preciso alterar o endereço de entrega do meu pedido.",Produtivo
"Anexei o contrato assinado conforme solicitado.",Produtivo
"Boa tarde, poderiam confirmar se receberam meus documentos?",Produtivo
"Segue em anexo o comprovante de pagamento.",Produtivo
"Estou com dificuldades para acessar minha conta bancária.",Produtivo
"Qual o prazo de resposta para a solicitação enviada ontem?",Produtivo
"Preciso de informações sobre o andamento do protocolo 88991.",Produtivo
"Por favor, atualizem o status do meu chamado técnico.",Produtivo
"Envio este e-mail para solicitar segunda via do boleto.",Produtivo
"Gostaria de agendar uma reunião para tratar do contrato.",Produtivo
"Minha senha expirou, como posso redefini-la?",Produtivo
"Existe alguma atualização sobre o processo aberto semana passada?",Produtivo
"Preciso de ajuda urgente, meu acesso está bloqueado.",Produtivo
"Vocês podem confirmar a entrega do pedido nº 56565?",Produtivo
"Estou enviando relatórios mensais em anexo para validação.",Produtivo
"Poderiam me enviar o manual atualizado do sistema?",Produtivo
"Quero cancelar minha assinatura, como proceder?",Produtivo
"Olá pessoal, tudo bem? Gostaria de agendar nossa reunião trimestral para a próxima semana. Quais dias ficam melhores para vocês?",Produtivo
"Segue o relatório de vendas do Q3 para análise. Por favor, me enviem seus feedbacks até sexta-feira.",Produtivo
"Estou com um problema na API de pagamentos, o endpoint de estorno está retornando erro 500. Podem investigar com urgência?",Produtivo
"Prezados, o cliente XPTO reportou uma inconsistência no relatório gerado pelo sistema. Anexei o print do erro. Precisamos corrigir isso.",Produtivo
"Boa tarde, poderiam me dar acesso à pasta compartilhada do projeto 'Phoenix'? Fui adicionado ao time hoje.",Produtivo
"Lembrete: a entrega da primeira fase do projeto é amanhã, 28/09. Verifiquem suas pendências.",Produtivo
"FWD: Convite Reunião de Alinhamento. Pessoal, encaminhando o convite. Participação obrigatória.",Produtivo
"A impressora do terceiro andar não está funcionando. Alguém do TI pode verificar?",Produtivo
"Olá, notei que meu pagamento de horas extras não foi incluído no último holerite. Poderiam verificar o que houve?",Produtivo
"Conforme nossa conversa, estou enviando a proposta comercial atualizada em anexo. Aguardo o retorno.",Produtivo
"Aprovado. Podem seguir com a implementação.",Produtivo
"Preciso que a documentação da nova feature seja criada até o final da sprint.",Produtivo
"O servidor de testes está offline desde as 10h. Alguma previsão de retorno?",Produtivo
"Por favor, revisar o pull request #582 no repositório principal.",Produtivo
"Onde encontro o template para solicitação de férias?",Produtivo
"Estou tentando gerar um novo token de acesso, mas o sistema diz que meu usuário é inválido.",Produtivo
